Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
CASIC,Taiyuan Satellite Launch Center,China,,,Sep,2002
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Sep,2002
MHI,LA-Y1,Tanegashima Space Center,,Japan,Sep,2002
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,2002
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Aug,2002
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2002
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Jul,2002
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jul,2002
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,2002
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Jul,2002
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Jun,2002
Eurockot,Site 133/3,Plesetsk Cosmodrome,,Russia,Jun,2002
Sea Launch,LP Odyssey,Kiritimati Launch Area,,Pacific Ocean,Jun,2002
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,2002
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jun,2002
IAI,Pad 1,Palmachim Airbase,,Israel,May,2002
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,May,2002
CASC,LC-7,Taiyuan Satellite Launch Center,,China,May,2002
Boeing,SLC-2W,Vandenberg AFB,California,USA,May,2002
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Apr,2002
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,2002
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,Apr,2002
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Mar,2002
CASC,Site 901 (SLS-1),Jiuquan Satellite Launch Center,,China,Mar,2002
Eurockot,Site 133/3,Plesetsk Cosmodrome,,Russia,Mar,2002
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,2002
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,2002
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Mar,2002
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Feb,2002
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,2002
Boeing,SLC-2W,Vandenberg AFB,California,USA,Feb,2002
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Feb,2002
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,2002
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jan,2002
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2002
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Dec,2001
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Dec,2001
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Dec,2001
Boeing,SLC-2W,Vandenberg AFB,California,USA,Dec,2001
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,2001
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Nov,2001
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Oct,2001
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Oct,2001
Boeing,SLC-2W,Vandenberg AFB,California,USA,Oct,2001
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,2001
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Oct,2001
Lockheed,LP-1,Pacific Spaceport Complex,Alaska,USA,Sep,2001
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,2001
Northrop,SLC-576E,Vandenberg AFB,California,USA,Sep,2001
Lockheed,SLC-3E,Vandenberg AFB,California,USA,Sep,2001
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,2001
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,2001
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,2001
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,2001
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Aug,2001
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,2001
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,2001
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Jul,2001
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,2001
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,2001
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,2001
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jun,2001
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,2001
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,2001
Sea Launch,LP Odyssey,Kiritimati Launch Area,,Pacific Ocean,May,2001
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,2001
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Apr,2001
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Apr,2001
Sea Launch,LP Odyssey,Kiritimati Launch Area,,Pacific Ocean,Mar,2001
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Mar,2001
NASA,LC-39B,Kennedy Space Center,Florida,USA,Mar,2001
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,2001
MITT,Svobodny Cosmodrome,Russia,,,Feb,2001
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,2001
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Feb,2001
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jan,2001
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jan,2001
CASC,Site 901 (SLS-1),Jiuquan Satellite Launch Center,,China,Jan,2001
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Dec,2000
CASC,LC-2,Xichang Satellite Launch Center,,China,Dec,2000
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Dec,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Dec,2000
MITT,Svobodny Cosmodrome,Russia,,,Dec,2000
NASA,LC-39B,Kennedy Space Center,Florida,USA,Nov,2000
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Nov,2000
Boeing,SLC-2W,Vandenberg AFB,California,USA,Nov,2000
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Nov,2000
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Nov,2000
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,2000
CASC,LC-2,Xichang Satellite Launch Center,,China,Oct,2000
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,2000
Sea Launch,LP Odyssey,Kiritimati Launch Area,,Pacific Ocean,Oct,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,2000
NASA,LC-39A,Kennedy Space Center,Florida,USA,Oct,2000
Northrop,Stargazer,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Oct,2000
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,2000
Kosmotras,Site 109/95,Baikonur Cosmodrome,,Kazakhstan,Sep,2000
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Sep,2000
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Sep,2000
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Sep,2000
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,2000
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,2000
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,2000
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Aug,2000
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,2000
Sea Launch,LP Odyssey,Kiritimati Launch Area,,Pacific Ocean,Jul,2000
Northrop,SLC-8,Vandenberg AFB,California,USA,Jul,2000
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,2000
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Jul,2000
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Jul,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jun,2000
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Jun,2000
CASC,LC-3,Xichang Satellite Launch Center,,China,Jun,2000
Northrop,Stargazer,Vandenberg AFB,California,USA,Jun,2000
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,May,2000
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,2000
Eurockot,Site 133/3,Plesetsk Cosmodrome,,Russia,May,2000
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,May,2000
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,May,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,May,2000
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Apr,2000
Boeing,SLC-2W,Vandenberg AFB,California,USA,Mar,2000
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Mar,2000
Sea Launch,LP Odyssey,Kiritimati Launch Area,,Pacific Ocean,Mar,2000
Northrop,SLC-576E,Vandenberg AFB,California,USA,Mar,2000
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Mar,2000
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Feb,2000
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,2000
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,2000
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Feb,2000
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,2000
Northrop,SLC-8,Vandenberg AFB,California,USA,Jan,2000
CASC,LC-2,Xichang Satellite Launch Center,,China,Jan,2000
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jan,2000
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,2000
Northrop,SLC-576E,Vandenberg AFB,California,USA,Dec,1999
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,Dec,1999
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Dec,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1999
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1999
Lockheed,SLC-3E,Vandenberg AFB,California,USA,Dec,1999
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Dec,1999
AEB,VLS Pad,Alc?›ntara Launch Center,Maranh?œo,Brazil,Dec,1999
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Dec,1999
Northrop,Stargazer,Vandenberg AFB,California,USA,Dec,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1999
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1999
CASC,Site 901 (SLS-1),Jiuquan Satellite Launch Center,,China,Nov,1999
MHI,LA-Y1,Tanegashima Space Center,,Japan,Nov,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Nov,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1999
CASC,LC-7,Taiyuan Satellite Launch Center,,China,Oct,1999
Sea Launch,LP Odyssey,Kiritimati Launch Area,,Pacific Ocean,Oct,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1999
Lockheed,SLC-6,Vandenberg AFB,California,USA,Sep,1999
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1999
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Aug,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1999
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,1999
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Jul,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,1999
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Jul,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1999
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Jun,1999
CASC,LC-7,Taiyuan Satellite Launch Center,,China,Jun,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,1999
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,May,1999
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1999
Lockheed,SLC-4E,Vandenberg AFB,California,USA,May,1999
Northrop,Stargazer,Vandenberg AFB,California,USA,May,1999
CASC,LC-7,Taiyuan Satellite Launch Center,,China,May,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1999
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,1999
VKS RF,Site 107/1,Kapustin Yar,,Russia,Apr,1999
Lockheed,SLC-6,Vandenberg AFB,California,USA,Apr,1999
Kosmotras,Site 109/95,Baikonur Cosmodrome,,Kazakhstan,Apr,1999
Boeing,SLC-2W,Vandenberg AFB,California,USA,Apr,1999
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Apr,1999
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Apr,1999
Sea Launch,LP Odyssey,Kiritimati Launch Area,,Pacific Ocean,Mar,1999
Northrop,Stargazer,Vandenberg AFB,California,USA,Mar,1999
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Feb,1999
Boeing,SLC-2W,Vandenberg AFB,California,USA,Feb,1999
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1999
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1999
Lockheed,SLC-46,Cape Canaveral AFS,Florida,USA,Jan,1999
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1999
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1998
CASC,LC-7,Taiyuan Satellite Launch Center,,China,Dec,1998
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,1998
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1998
Northrop,Stargazer,Vandenberg AFB,California,USA,Dec,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1998
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1998
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Nov,1998
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1998
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Oct,1998
ESA,ELA-3,Guiana Space Centre,French Guiana,France,Oct,1998
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,1998
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Oct,1998
Northrop,SLC-576E,Vandenberg AFB,California,USA,Oct,1998
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Sep,1998
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Sep,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1998
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Sep,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Sep,1998
KCST,Pad 1,Tonghae Satellite Launching Ground,,North Korea,Aug,1998
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Aug,1998
CASC,LC-7,Taiyuan Satellite Launch Center,,China,Aug,1998
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Aug,1998
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1998
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Aug,1998
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Jul,1998
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Jul,1998
SRC,K-407 Submarine,Barents Sea Launch Area,,Barents Sea,Jul,1998
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Jul,1998
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Jul,1998
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Jun,1998
CASC,LC-2,Xichang Satellite Launch Center,,China,Jun,1998
VKS RF,Site 32/1,Plesetsk Cosmodrome,,Russia,Jun,1998
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1998
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1998
CASC,LC-2,Xichang Satellite Launch Center,,China,May,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,May,1998
Lockheed,SLC-4W,Vandenberg AFB,California,USA,May,1998
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,May,1998
VKS RF,Site 16/2,Plesetsk Cosmodrome,,Russia,May,1998
CASC,LC-7,Taiyuan Satellite Launch Center,,China,May,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Apr,1998
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Apr,1998
NASA,LC-39B,Kennedy Space Center,Florida,USA,Apr,1998
Northrop,Stargazer,Vandenberg AFB,California,USA,Apr,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Mar,1998
CASC,LC-7,Taiyuan Satellite Launch Center,,China,Mar,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Mar,1998
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1998
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Feb,1998
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Feb,1998
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,1998
Boeing,SLC-2W,Vandenberg AFB,California,USA,Feb,1998
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1998
Northrop,SLC-576E,Vandenberg AFB,California,USA,Feb,1998
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Feb,1998
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1998
IAI,Pad 1,Palmachim Airbase,,Israel,Jan,1998
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1998
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1998
Lockheed,SLC-46,Cape Canaveral AFS,Florida,USA,Jan,1998
ILS,Site 81/23,Baikonur Cosmodrome,,Kazakhstan,Dec,1997
MITT,Svobodny Cosmodrome,Russia,,,Dec,1997
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Dec,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Dec,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1997
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Dec,1997
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1997
CASC,LC-7,Taiyuan Satellite Launch Center,,China,Dec,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Dec,1997
MHI,LA-Y1,Tanegashima Space Center,,Japan,Nov,1997
NASA,LC-39B,Kennedy Space Center,Florida,USA,Nov,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Nov,1997
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1997
AEB,VLS Pad,Alc?›ntara Launch Center,Maranh?œo,Brazil,Nov,1997
ESA,ELA-3,Guiana Space Centre,French Guiana,France,Oct,1997
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,1997
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Oct,1997
Northrop,Stargazer,Wallops Flight Facility,Virginia,USA,Oct,1997
CASC,LC-2,Xichang Satellite Launch Center,,China,Oct,1997
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1997
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,1997
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Sep,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Sep,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1997
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Sep,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1997
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1997
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1997
CASC,LC-7,Taiyuan Satellite Launch Center,,China,Sep,1997
Northrop,Stargazer,Vandenberg AFB,California,USA,Aug,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1997
Lockheed,SLC-6,Vandenberg AFB,California,USA,Aug,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Aug,1997
CASC,LC-2,Xichang Satellite Launch Center,,China,Aug,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,1997
Northrop,Stargazer,Base Aerea de Gando,,Gran Canaria,Aug,1997
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Jul,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,Jul,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jun,1997
CASC,LC-3,Xichang Satellite Launch Center,,China,Jun,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jun,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,May,1997
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,May,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,1997
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,May,1997
CASC,LC-2,Xichang Satellite Launch Center,,China,May,1997
Boeing,SLC-2W,Vandenberg AFB,California,USA,May,1997
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1997
Northrop,Stargazer,Base Aerea de Gando,,Gran Canaria,Apr,1997
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Apr,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1997
Lockheed,SLC-4W,Vandenberg AFB,California,USA,Apr,1997
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1997
MITT,Svobodny Cosmodrome,Russia,,,Mar,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Mar,1997
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,1997
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,1997
VKS RF,Site 32/2,Plesetsk Cosmodrome,,Russia,Feb,1997
ISAS,Mu Pad,Uchinoura Space Center,,Japan,Feb,1997
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,1997
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jan,1997
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jan,1997
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jan,1997
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Dec,1996
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Dec,1996
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1996
VKS RF,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,Dec,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Dec,1996
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Nov,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Nov,1996
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,Nov,1996
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,1996
CASC,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,Oct,1996
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1996
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Sep,1996
ILS,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1996
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Sep,1996
VKS RF,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Sep,1996
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,Aug,1996
CASC,LC-3,Xichang Satellite Launch Center,,China,Aug,1996
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,1996
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Aug,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Aug,1996
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1996
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jul,1996
CASC,LC-3,Xichang Satellite Launch Center,,China,Jul,1996
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,Jul,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jun,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Jun,1996
ESA,ELA-3,Guiana Space Centre,French Guiana,France,Jun,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,May,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,May,1996
Lockheed,SLC-4E,Vandenberg AFB,California,USA,May,1996
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1996
Lockheed,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,1996
VKS RF,Site 132/1,Plesetsk Cosmodrome,,Russia,Apr,1996
Boeing,SLC-2W,Vandenberg AFB,California,USA,Apr,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Apr,1996
ILS,SLC-36A,Cape Canaveral AFS,Florida,USA,Apr,1996
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Mar,1996
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Mar,1996
Arianespace,ELA-2,Guiana Space Centre,French Guiana,France,Mar,1996
Northrop,Stargazer,Vandenberg AFB,California,USA,Mar,1996
Boeing,SLC-2W,Vandenberg AFB,California,USA,Feb,1996
NASA,LC-39B,Kennedy Space Center,Florida,USA,Feb,1996
